num,code,2021-10-01EMA144
1,SPY,423.64
2,TSLA,680.78
3,AMD,94.48
4,AAPL,138.56
5,AMZN,3348.97
6,MRNA,290.63
7,NVDA,185.15
8,MSFT,271.62
9,BABA,199.07
10,FB,335.86
11,AMC,32.53
12,TQQQ,120.78
13,GOOGL,2497.42
14,SQ,241.72
15,GOOG,2528.87
16,TLT,146.76
17,BNTX,254.99
18,PFE,41.79
19,BA,225.01
20,EEM,52.29
21,BAC,39.16
22,LQD,134.11
23,NIO,40.3
24,MU,76.42
25,PYPL,268.43
26,XLF,36.05
27,IVV,425.46
28,V,227.55
29,HOOD,0
30,ZM,334.76
31,ROKU,334.5
32,CRM,245.17
33,HYG,87.35
34,VOO,389.66
35,JPM,152.94
36,DIS,176.22
37,NVAX,202.65
38,SNOW,274.58
39,NFLX,538.44
40,EFA,78.55
41,GLD,168.23
42,MA,359.39
43,XLE,49.09
44,WMT,142.33
45,COIN,0
46,PLTR,24.05
47,XLI,99.9
48,XLV,126.6
49,UPST,167.68
50,WFC,43.7
51,C,69.53
52,DIA,339.38
53,SE,279.93
54,UBER,46.29
55,CRWD,235.16
56,ABNB,161.1
57,GM,52.93
58,XOM,56.16
59,AMAT,128.31
60,BRK.B,272.31
61,HD,316.71
62,INTC,55.4
63,CVX,99.94
64,FXI,43.18
65,GE,101.12
66,QCOM,138.32
67,SNAP,65.83
68,ADI,162.11
69,EWZ,36.11
70,TSM,115.34
71,JNJ,166.49
72,UNH,397.15
73,XLK,146.23
74,CSCO,53.65
75,TNA,85.76
76,SMH,251.79
77,TGT,229.43
78,GS,364.97
79,IEF,116.47
80,ADBE,576.18
81,LOW,193.04
82,JD,75.86
83,BIDU,178.46
84,PG,138.78
85,PDD,111.29
86,XLU,65.67
87,T,28.51
88,LRCX,589.55
89,VXX,37.69
90,PANW,394.91
91,PTON,108.79
92,MS,91.36
93,VZ,56.01
94,GDX,33.7
95,NKE,150.32
96,ATVI,86.02
97,COST,412.93
98,DKNG,53.16
99,XLP,69.96
100,VTI,219.49
101,UVXY,46.96
102,F,12.96
103,CAT,208.89
104,RBLX,29.89
105,JNK,109.07
106,CCL,24.3
107,KWEB,60.74
108,XLY,175.88
109,ABBV,111.31
110,SQQQ,10.96
111,CMCSA,56.37
112,XBI,130.77
113,MRK,75.37
114,LLY,224.43
115,FIS,136.88
116,ARKK,118.48
117,ORCL,81.77
118,XOP,83.37
119,SBUX,112.65
120,SPXL,104.54
121,AMGN,232.71
122,PINS,62.34
123,GPN,181.06
124,FUTU,112.71
125,TXN,185.34
126,DHR,194.88
127,ETSY,281.3
128,AAL,20.38
129,AVGO,471.05
130,FCX,34.49
131,AGG,115.66
132,IYR,101.46
133,AXP,157.44
134,KO,54.48
135,FDX,270.29
136,IEMG,63.65
137,EBAY,66.99
138,CLF,20.4
139,DASH,179.28
140,TWTR,62.26
141,KRE,63.89
142,TMUS,135.09
143,NEE,78.51
144,MDT,125.8
145,PEP,149.86
146,NOW,569.83
147,XLB,81.37
148,UNP,213.96
149,UPRO,111.24
150,SPGI,406.98
151,PLUG,28.77
152,X,23.4
153,VALE,18.84
154,DE,348.09
155,VWO,51.65
156,ABT,119.61
157,SPCE,29.07
158,VIAC,42.29
159,MCD,233.29
160,CVS,81.29
161,ACN,304.33
162,FISV,112.45
163,AON,257.05
164,UAL,48.86
165,TCEHY,68.48
166,BMY,64.59
167,SOXL,40.38
168,DAL,42.13
169,IBB,162.19
170,TIP,127.96
171,COF,150.72
172,TJX,68.32
173,M,18.63
174,DOCU,260.39
175,NUE,95.7
176,SLV,22.98
177,UPS,190.64
178,IBM,131.81
179,AFRM,84.43
180,TWLO,350.75
181,IEFA,74.64
182,HON,219.92
183,NXPI,198.91
184,LVS,47.9
185,DDOG,114.54
186,BND,86.15
187,IWD,155.98
188,COP,55.76
189,EMB,111.94
190,PENN,79.17
191,CPNG,0
192,OXY,25.98
193,Z,108.29
194,RIOT,31.64
195,NET,103.29
196,SCHW,68.56
197,LIN,292.87
198,MDY,479.79
199,VNQ,101.23
200,SPOT,247.28
201,MMM,190.61
202,MARA,30.47
203,XPEV,37.67
204,MRVL,55.15
205,IJR,107.85
206,TTD,72.5
207,BILL,202.6
208,NCLH,26.5
209,AMT,269.13
210,IGV,386.37
211,CB,169.74
212,BX,102.55
213,RTX,82.8
214,ADP,196.59
215,MPC,56.2
216,TEAM,299.13
217,VEA,50.99
218,MCHP,74.48
219,ZS,226.91
220,SOFI,16.57
221,ENPH,159.72
222,BSX,42.68
223,XLC,79.09
224,NEM,60.63
225,RSP,147.83
226,ON,40.76
227,AA,38.28
228,IAU,34.23
229,MCHI,75.33
230,SOXX,436.46
231,MAR,138.8
232,CL,79.49
233,PXD,149.34
234,NSC,256.47
235,EWJ,68.7
236,TDOC,158.9
237,SLB,28.43
238,DVN,26.47
239,VTV,135.49
240,BP,25.11
241,HLT,123.32
242,CSX,31.62
243,BYND,127.25
244,MET,59.42
245,USB,55.76
246,CCI,185.74
247,VCSH,82.65
248,DOW,61.2
249,USO,46.31
250,XLRE,44.13
251,AEP,85.96
252,CNC,66.03
253,GBTC,34.97
254,VCIT,95.07
255,KMI,16.77
256,PSX,74.9
257,SYF,45.73
258,O,67.73
259,DHI,89.17
260,UDOW,70.28
261,KMB,135.3
262,LCID,21.86
263,ETHE,25.07
264,WM,141.91
265,BSV,82.26
266,QS,27.62
267,MRO,11.51
268,DFS,115.88
269,HAL,20.66
270,APA,19.17
271,ECL,217.08
272,LEN,97.8
273,IP,54.25
274,MP,32.54
275,TZA,38.77
276,ALGN,629.55
277,ANTM,368.52
278,ASML,713.92
279,BIIB,311.14
280,BKNG,2248.11
281,BLK,848.23
282,CHTR,717.58
283,CMG,1658.64
284,FFIV,194.3
285,GNRC,377.84
286,GRMN,150.61
287,HCA,222.6
288,INTU,489.05
289,ISRG,308.97
290,KLAC,321.07
291,LMT,364.31
292,MELI,1640.01
293,NOC,352.27
294,ORLY,562.6
295,REGN,578.79
296,SHOP,1368.06
297,SHW,278.87
298,TER,120.62
299,TMO,518.8
300,XLNX,139.62
301,QQQ,350.1
302,IWM,218.34
303,SAVA,64.71
304,GME,170.34
305,CI,221.93
306,BILI,90.12
307,WDAY,244.86
308,GILD,68.61
309,ADSK,293.52
310,MTCH,148.33
311,WLTW,227.92
312,EXPE,155.08
313,U,116.08
314,WISH,11.75
315,ZI,55.4
316,NTES,98.06
317,DG,216.9
318,AZN,56.43
319,BDX,249.3
320,MDLZ,60.92
321,IWF,268.84
322,WYNN,105.9
323,EOG,72.02
324,OKTA,244.13
325,LUV,52.3
326,DKS,103.48
327,WDC,63.02
328,ACWI,99.72
329,GOLD,20.98
330,DLTR,99.38
331,BTBT,10.33
332,RCL,82.08
333,EA,139.32
334,LYFT,53.02
335,SPLK,145.24
336,BEKE,35.67
337,LI,27.59
338,PBR,10.25
339,CLX,177.67
340,KR,39.7
341,BBY,112.29
342,EWY,86.67
343,FIVN,173.93
344,KSU,268.62
345,IJH,262.71
346,A,149.31
347,PNC,182.45
348,BBWI,56.84
349,PLD,122.27
350,CZR,95.67
